,Component,Waiting,Interpolation,Sending
24300,0.190,0.000,0.003,0.000
27000,0.193,0.020,0.004,0.000
29700,0.191,0.000,0.002,0.000
32400,0.298,0.049,0.005,0.000
35100,0.220,0.000,0.002,0.000
37800,0.244,0.000,0.003,0.000
40500,0.196,0.000,0.004,0.000
43200,0.675,0.000,0.001,0.000
45900,0.191,0.000,0.003,0.000
48600,0.229,0.013,0.003,0.000
51300,0.218,0.000,0.003,0.000
54000,0.301,0.000,0.002,0.000
56700,0.199,0.000,0.002,0.000
59400,0.192,0.015,0.002,0.000
62100,0.188,0.000,0.003,0.000
64800,0.657,0.026,0.001,0.000
67500,0.188,0.000,0.003,0.000
70200,0.189,0.025,0.030,0.000
72900,0.189,0.000,0.002,0.000
75600,0.306,0.031,0.042,0.000
78300,0.192,0.000,0.003,0.000
81000,0.244,0.011,0.003,0.000
83700,0.191,0.000,0.002,0.000
86400,0.697,1.353,0.040,0.000
89100,0.193,0.000,0.007,0.000
91800,0.196,0.020,0.002,0.000
94500,0.188,0.000,0.002,0.000
97200,0.299,0.022,0.002,0.000
99900,0.220,0.000,0.047,0.000
102600,0.191,0.000,0.002,0.000
105300,0.191,0.012,0.002,0.000
108000,0.607,0.005,0.002,0.000
110700,0.198,0.000,0.004,0.000
113400,0.192,0.003,0.002,0.000
116100,0.217,0.011,0.003,0.000
118800,0.305,0.000,0.003,0.000
121500,0.193,0.000,0.003,0.000
124200,0.228,0.018,0.003,0.000
126900,0.237,0.779,0.003,0.000
129600,0.646,0.000,0.001,0.000
132300,0.191,0.000,0.006,0.000
135000,0.241,0.006,0.003,0.000
137700,0.192,0.000,0.003,0.000
140400,0.305,0.009,0.002,0.000
143100,0.196,0.000,0.002,0.000
145800,0.195,0.005,0.007,0.000
148500,0.226,0.006,0.003,0.000
151200,0.671,0.000,0.001,0.000
153900,0.196,0.000,0.002,0.000
156600,0.194,0.009,0.002,0.000
159300,0.192,0.001,0.002,0.000
162000,0.383,0.038,0.005,0.000
164700,0.190,0.000,0.003,0.000
167400,0.207,0.026,0.004,0.000
170100,0.226,0.000,0.004,0.000
172800,0.677,0.460,0.004,0.000
175500,0.242,0.000,0.003,0.000
178200,0.229,0.000,0.003,0.000
180900,0.227,0.000,0.003,0.000
183600,0.303,0.000,0.003,0.000
186300,0.197,0.000,0.004,0.000
189000,0.191,0.008,0.006,0.000
191700,0.410,0.000,0.006,0.000
194400,0.607,0.003,0.001,0.000
197100,0.217,0.000,0.002,0.000
199800,0.228,0.000,0.002,0.000
202500,0.191,0.000,0.002,0.000
205200,0.361,0.013,0.004,0.000
207900,0.192,0.000,0.002,0.000
210600,0.245,0.006,0.004,0.000
213300,0.190,0.000,0.005,0.000
216000,0.684,0.006,0.001,0.000
218700,0.226,0.000,0.003,0.000
221400,0.200,0.000,0.003,0.000
224100,0.196,0.009,0.004,0.000
226800,0.310,0.000,0.002,0.000
229500,0.193,0.000,0.005,0.000
232200,0.225,0.021,0.004,0.000
234900,0.254,0.000,0.005,0.000
237600,0.526,0.000,0.001,0.000
240300,0.208,0.000,0.003,0.000
243000,0.196,0.000,0.003,0.000
245700,0.224,0.000,0.004,0.000
248400,0.354,0.000,0.003,0.000
251100,0.196,0.000,0.003,0.000
253800,0.200,0.008,0.003,0.000
256500,0.240,0.000,0.003,0.000
259200,0.535,0.248,0.001,0.000
261900,0.191,0.000,0.003,0.000
264600,0.200,0.011,0.004,0.000
267300,0.190,0.000,0.004,0.000
270000,0.303,0.002,0.005,0.000
272700,0.215,0.000,0.002,0.000
275400,0.231,0.000,0.004,0.000
278100,0.191,0.000,0.006,0.000
280800,0.676,0.000,0.001,0.000
283500,0.192,0.000,0.004,0.000
286200,0.210,0.007,0.007,0.000
288900,0.250,0.000,0.004,0.000
291600,0.309,0.000,0.003,0.000
294300,0.237,0.000,0.003,0.000
297000,0.192,0.000,0.004,0.000
299700,0.190,0.003,0.003,0.000
302400,0.674,0.011,0.004,0.000
305100,0.189,0.000,0.006,0.000
307800,0.195,0.024,0.003,0.000
310500,0.193,0.000,0.005,0.000
313200,0.308,0.022,0.002,0.000
315900,0.194,0.000,0.003,0.000
318600,0.196,0.025,0.003,0.000
321300,0.192,0.008,0.003,0.000
324000,0.671,0.006,0.002,0.000
326700,0.196,0.000,0.003,0.000
329400,0.207,0.000,0.004,0.000
332100,0.193,0.000,0.003,0.000
334800,0.307,0.007,0.002,0.000
337500,0.190,0.000,0.004,0.000
340200,0.223,0.008,0.002,0.000
342900,0.188,0.000,0.004,0.000
345600,0.656,0.267,0.001,0.000
348300,0.190,0.000,0.006,0.000
351000,0.191,0.017,0.004,0.000
353700,0.191,0.000,0.004,0.000
356400,0.302,0.013,0.007,0.000
359100,0.190,0.000,0.002,0.000
361800,0.236,0.026,0.003,0.000
364500,0.191,0.000,0.006,0.000
